nr;category;function;ct1;ct2;jct;cto;path_ct1;path_ct2;path_jct;path_cto
1;1) Klassische Chiffren;ADFGVX;X;K\T\W;D;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ ADFGVX…;[K] Klassische Verfahren\ ADFGVX<br/>[T] Kryptographie\ Klassisch\ ADFGVX-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ ADFGVX;[D] Algorithmen\ Klassisch\ ADFGVX;Klassische Chiffren\ ADFGVX
2;1) Klassische Chiffren;Affine Chiffre;;;;X;;;;Klassische Chiffren\ Multiplikativ
3;1) Klassische Chiffren;Alberti;;;;X;;;;Klassische Chiffren\ Alberti
4;1) Klassische Chiffren;AMSCO;;;;X;;;;Klassische Chiffren\ AMSCO
5;1) Klassische Chiffren;Atbash;X;;;;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Substitution / Atbash…;;;
6;1) Klassische Chiffren;Autokey-Vigenère;;;D;X;;;[D] Algorithmen\ Klassisch\ Autokey-Vigenère;Klassische Chiffren\ Autokey
7;1) Klassische Chiffren;Beaufort;;;;X;;;;Klassische Chiffren\ Beaufort
8;1) Klassische Chiffren;Bifid;;;D;X;;;[D] Algorithmen\ Klassisch\ Bifid-Verfahren;Klassische Chiffren\ Bifid
9;1) Klassische Chiffren;Byteweise Addition;X;;;;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Byteweise Addition…;;;
10;1) Klassische Chiffren;Caesar;X;K\T\W;D;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Caesar / Rot-13…;[K] Klassische Verfahren\ Caesar<br/>[T] Kryptographie\ Klassisch\ Caesar-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ Caesar;[D] Algorithmen\ Klassisch\ Caesar;Klassische Chiffren\ Caesar / Rot-13
11;1) Klassische Chiffren;Doppelkasten;;;D;;;;[D] Algorithmen\ Klassisch\ Doppelkasten;
12;1) Klassische Chiffren;Enigma;;K\T\W;;X;;[K] Klassische Verfahren\ Enigma<br/>[T] Kryptographie\ Klassisch\ Enigma-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ Enigma;;Klassische Chiffren\ Enigma
13;1) Klassische Chiffren;Four-Square;;;;X;;;;Klassische Chiffren\ Four-Square
14;1) Klassische Chiffren;Freimaurer;;;;X;;;;Klassische Chiffren\ Freimaurer
15;1) Klassische Chiffren;Gartenzaun;X;;;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Skytale / Gartenzaun…;;;Klassische Chiffren\ Zigzag (Jägerzaun)
16;1) Klassische Chiffren;Gronsfeld;;;;X;;;;Klassische Chiffren\ Gronsfeld
17;1) Klassische Chiffren;Hill;X;;;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Hill…;;;Klassische Chiffren\ Hill
18;1) Klassische Chiffren;Homophone;X;;;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Homophone…;;;Klassische Chiffren\ Homophone
19;1) Klassische Chiffren;Kamasutra;;;;X;;;;Klassische Chiffren\ Kamasutra
20;1) Klassische Chiffren;Larrabee;;;;X;;;;Klassische Chiffren\ Larrabee
21;1) Klassische Chiffren;Lorenz SZ42;;K;;;;[K] Klassische Verfahren\ Lorenz SZ42;;
22;1) Klassische Chiffren;M209;;K\T;;;;[K] Klassische Verfahren\ M209<br/>[T] Kryptographie\ Klassisch\ M209-Chiffre;;
23;1) Klassische Chiffren;Navajo;;T;;X;;[T] Kryptographie\ Klassisch\ Navajo-Code;;Klassische Chiffren\ Navajo
24;1) Klassische Chiffren;Nihilist;;K\T;;X;;[K] Klassische Verfahren\ Nihilist<br/>[T] Kryptographie\ Klassisch\ Nihilist-Chiffre;;Klassische Chiffren\ Nihilisten
25;1) Klassische Chiffren;Playfair;X;K\T\W;D;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Playfair…;[K] Klassische Verfahren\ Playfair<br/>[T] Kryptographie\ Klassisch\ Playfair-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ Playfair;[D] Algorithmen\ Klassisch\ Playfair;Klassische Chiffren\ Playfair
26;1) Klassische Chiffren;Pollux;;;;X;;;;Klassische Chiffren\ Pollux
27;1) Klassische Chiffren;Polybius;;;;X;;;;Klassische Chiffren\ Polybius
28;1) Klassische Chiffren;Porta;;;;X;;;;Klassische Chiffren\ Porta
29;1) Klassische Chiffren;Purple;;K\T;;;;[K] Klassische Verfahren\ Purple<br/>[T] Kryptographie\ Klassisch\ PURPLE-Chiffre;;
30;1) Klassische Chiffren;Rot-13;X;K\T\W;D;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Caesar / Rot-13…;[K] Klassische Verfahren\ Caesar<br/>[T] Kryptographie\ Klassisch\ Caesar-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ Caesar;[D] Algorithmen\ Klassisch\ Caesar;Klassische Chiffren\ Caesar / Rot-13
31;1) Klassische Chiffren;Rotation;;;;X;;;;Klassische Chiffren\ Rotation
32;1) Klassische Chiffren;Skytale;X;K\T\W;;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Skytale / Gartenzaun…;[K] Klassische Verfahren\ Skytale<br/>[T] Kryptographie\ Klassisch\ Skytale-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ Skytale;;Klassische Chiffren\ Skytale
33;1) Klassische Chiffren;Solitaire;X;K\T;;;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Solitaire…;[K] Klassische Verfahren\ Solitaire<br/>[T] Kryptographie\ Klassisch\ Solitaire-Chiffre;;
34;1) Klassische Chiffren;Spanische Strip-Chiffre;;C\T;;;;[K] Klassische Verfahren\ Spanische Strip-Chiffre<br/>[T] Kryptographie\ Klassisch\ Spanische Strip-Chiffre;;
35;1) Klassische Chiffren;Substitution;X;K\T\W;D;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Substitution / Atbash…;[K] Klassische Verfahren\ Substitution<br/>[T] Kryptographie\ Klassisch\ Substitutions-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ Substitution;[D] Algorithmen\ Klassisch\ Substitution;Klassische Chiffren\ Monoalphabetische Substitution
36;1) Klassische Chiffren;T-310\50;;K\T;;;;[K] Klassische Verfahren\ T-310\50<br/>[T] Kryptographie\ Klassisch\ T310/50-Chiffre;;
37;1) Klassische Chiffren;Templer;;;;X;;;;Klassische Chiffren\ Templer
38;1) Klassische Chiffren;Transposition (ein-stufige Spaltentransposition);X;K\T\W;D;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Permutation / Transposition…;[K] Klassische Verfahren\ Transposition<br/>[T] Kryptographie\ Klassisch\ Transpositions-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ Transposition;[D] Algorithmen\ Klassisch\ Transposition;Klassische Chiffren\ Transposition
