\cHuffman coding;Huffman
Huffman coding;Huffman
Huffman coding;Huffman
Huffman coding;Huffman
Data Flow;Data flow
Double Box;Double box
Hash Sensitivity;Hash sensitivity
Morse Code;Morse code
Padding Oracle;Padding Oracle Attack (POA)
Sudoku-Solver;Sudoku solver
Substitutiton;Substitution
Nihilist;Nihilist cipher
T-310\50;T-310
Friedman Test;Friedman test
Prime Number[^;]*;Prime number
Enigma Attacker;Enigma attack
Enigma attack;Enigma Attack
IDP Analyzer;IDP Analysis
M-138 Analyzer;M-138 Analysis
Playfair Analysis;Playfair Analysis
Morse Code;Morse code
Visual Code;Visual code
Padding Oracle;Padding Oracle Attack
Hill;Hill cipher
Hill Cipher;Hill cipher
Nihilist;Nihilist cipher
Nihilist Cipher;Nihilist cipher
Playfair;Playfair cipher
Vigenère;Vigenère cipher
SAT Solver;SAT solver
BB84 Key Exchange;BB84 key exchange
BB84 Key Exchange Attack;BB84 key exchange Attack
Spanish Strip Cipher;Spanish Strip cipher
Spanish Strip Cipher Analysis;Spanish Strip cipher Analysis
Cylinder Cipher;Cylinder cipher
