ADFGV                                                                                                                                          ; ;       ;   ;X;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Ciphers \ ADFGVX                        ;;['1) Classic Ciphers']
AES                                                                                                                                            ;X;C\T    ;D  ;X;Encrypt \ Decrypt \ Symmetric (modern) \ AES (CBC)... <br /> Encrypt \ Decrypt \ Symmetric (modern) \ AES (self extracting)…                                                                                                                                                                                                                                                                                                                                                                                         ;Modern Ciphers \ Symmetric \ AES <br /> Codes \ AES (CBC) with PKCS#5 and IV, output as QR Code <br /> Codes \ QR Code Encryption <br /> Cryptanalysis \ Modern \ AES Analysis using Entropy (1) <br /> Cryptanalysis \ Modern \ AES Known-Plaintext Analysis (1) <br /> Cryptanalysis \ Modern \ CBC-Attack <br /> Cryptanalysis \ Modern \ AES Analysis using Entropy (2) <br /> Cryptanalysis \ Modern \ AES Known-Plaintext Analysis (2) <br /> Cryptanalysis \ Modern \ Padding Oracle Attack on AES <br /> Cryptography \ Modern \ Asymmetric \ Cramer-Shoup with AES <br /> Cryptography \ Modern \ Symmetric \ AES Cipher with SHA hashes <br /> Cryptography \ Modern \ Symmetric \ AES encryption with implicit conversion <br /> Cryptography \ Modern \ Symmetric \ AES Cipher (File Input) <br /> Cryptography \ Modern \ Symmetric \ AES with PKCS#5 <br /> Cryptography \ Modern \ Symmetric \ AES (CBC) with PKCS#5 and IV <br /> Cryptography \ Modern \ Symmetric \ AES (ECB) with PKCS#5 <br /> Cryptography \ Modern \ Symmetric \ AES Cipher (Text Input);[D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_CBC (OID: 2.16.840.1.101.3.4.1.2) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_CFB (OID: 2.16.840.1.101.3.4.1.4) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_ECB (OID: 2.16.840.1.101.3.4.1.1) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_OFB (OID: 2.16.840.1.101.3.4.1.3) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES192_CBC (OID: 2.16.840.1.101.3.4.1.22) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES192_CFB (OID: 2.16.840.1.101.3.4.1.24) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES192_ECB (OID: 2.16.840.1.101.3.4.1.21) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES192_OFB (OID: 2.16.840.1.101.3.4.1.23) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES256_CBC (OID: 2.16.840.1.101.3.4.1.42) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES256_ECB (OID: 2.16.840.1.101.3.4.1.41) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES256_CFB (OID: 2.16.840.1.101.3.4.1.44) <br /> [D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES256_CFB (OID: 2.16.840.1.101.3.4.1.43)                                                                                     ;Highlights \ AES                        ;;['2) Modern Ciphers']
Affine Cipher                                                                                                                                  ; ;       ;   ;X;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Ciphers \ Multiplicative                ;;['1) Classic Ciphers']
Alberti                                                                                                                                        ; ;       ;   ;X;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Ciphers \ Alberti                       ;;['1) Classic Ciphers']
AMSCO                                                                                                                                          ; ;       ;   ;X;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Ciphers \ AMSCO                         ;;['1) Classic Ciphers']
ASCII                                                                                                                                          ; ;W      ;   ;X;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Codes \ Encoding                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Codings \ ASCII                         ;;['9) Codings']
Autocorrelation                                                                                                                                ;X;C      ;   ;X;Analysis \ Tools for Analysis \ Autocorrelation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Cryptanalysis \ Generic \ Autocorrelation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Cryptanalysis \ Autocorrelation         ;;['6) Classic Cryptanalysis']
Autokey Analysis                                                                                                                               ; ;       ;   ;X;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Cryptanalysis \ Break Autokey           ;;['6) Classic Cryptanalysis']
Autokey Vigenère                                                                                                                               ; ;       ;D  ;X;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[D] \ Algorithms \ Classic \ Autokey Vigenère                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Ciphers \ Autokey                       ;;['1) Classic Ciphers']
Bacon                                                                                                                                          ; ;       ;   ;X;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Codings \ Bacon                         ;;['9) Codings']
