ADFGV                                   ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ ADFGVX                        ;;1) Classic Ciphers
AES                                     ;X;C\T    ;D  ;X;Encrypt \ Decrypt \ Symmetric (modern) \ AES (CBC)... <br />;Modern Ciphers \ Symmetric \ AES <br /> Codes \ AES (CBC) wi;[D] \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_CBC ;Highlights \ AES                        ;;2) Modern Ciphers
Affine Cipher                           ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Multiplicative                ;;1) Classic Ciphers
Alberti                                 ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Alberti                       ;;1) Classic Ciphers
AMSCO                                   ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ AMSCO                         ;;1) Classic Ciphers
ASCII                                   ; ;W      ;   ;X;                                                            ;Codes \ Encoding                                            ;                                                            ;Codings \ ASCII                         ;;9) Codings
Autocorrelation                         ;X;C      ;   ;X;Analysis \ Tools for Analysis \ Autocorrelation             ;Cryptanalysis \ Generic \ Autocorrelation                   ;                                                            ;Cryptanalysis \ Autocorrelation         ;;6) Classic Cryptanalysis
Autokey Analysis                        ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Cryptanalysis \ Break Autokey           ;;6) Classic Cryptanalysis
Autokey Vigenère                        ; ;       ;D  ;X;                                                            ;                                                            ;[D] \ Algorithms \ Classic \ Autokey Vigenère               ;Ciphers \ Autokey                       ;;1) Classic Ciphers
Bacon                                   ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Codings \ Bacon                         ;;9) Codings
Barcode Generator                       ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Codings \ Barcode Generator             ;;9) Codings
Base 64 Decode                          ;X;W      ;   ;X;Indiv. Procedures \ Tools \ Codes \ Base64 Encode \ Decode \;Codes \ Encoding                                            ;                                                            ;Codings \ Base64                        ;;9) Codings
Base 64 Encode                          ;X;W      ;   ;X;Indiv. Procedures \ Tools \ Codes \ Base64 Encode \ Decode \;Codes \ Encoding                                            ;                                                            ;Codings \ Base64                        ;;9) Codings
Beaufort                                ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Beaufort                      ;;1) Classic Ciphers
Bifid                                   ; ;       ;D  ;X;                                                            ;                                                            ;[D] \ Algorithms \ Classic \ Bifid                          ;Ciphers \ Bifid                         ;;1) Classic Ciphers
Caesar                                  ;X;C\T\W  ;D  ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Caesar \ Rot-13…  ;Classic Ciphers \ Caesar <br /> Cryptography \ Classical \ C;[D] \ Algorithms \ Classic \ Caesar                         ;Ciphers \ Caesar \ Rot-13               ;;1) Classic Ciphers
Code 39                                 ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Codings \ Code39                        ;;9) Codings
Distributed AES Analysis                ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Cryptanalysis \ Distributed AES Analysis;;7) Modern Cryptanalysis
Enigma                                  ; ;C\T\W  ;   ;X;                                                            ;Classic Ciphers \ Enigma <br /> Cryptanalysis \ Classical \ ;                                                            ;Ciphers \ Enigma                        ;;1) Classic Ciphers
Four Square                             ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Four-Square                   ;;1) Classic Ciphers
Freemason                               ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Freemason                     ;;1) Classic Ciphers
Frequency Test                          ;X;C\T    ;D  ;X;Analysis \ Analyze Randomness \ Frequency Test... <br /> Ana;Cryptanalysis \ Generic \ Frequency Test <br /> Cryptanalysi;[D] \ Analysis \ Frequency Analysis                         ;Cryptanalysis \ Frequency Analysis      ;;6) Classic Cryptanalysis
Gronsfeld                               ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Gronsfeld                     ;;1) Classic Ciphers
Hill                                    ;X;C\T    ;   ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Hill…             ;Classic Ciphers \ Hill Cipher <br /> Cryptography \ Classica;                                                            ;Ciphers \ Hill                          ;;1) Classic Ciphers
Homophone                               ;X;       ;   ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Homophone…        ;                                                            ;                                                            ;Ciphers \ Homophonic                    ;;1) Classic Ciphers
Huffman                                 ; ;C\T    ;D  ;X;                                                            ;Tools \ Misc \ Huffman <br /> Tools \ Huffman's algorithm (A;[D] \ Visualizations \ Huffman Coding                       ;Codings \ Huffman                       ;;9) Codings
Kamasutra                               ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Kamasutra                     ;;1) Classic Ciphers
Larrabee                                ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Larrabee                      ;;1) Classic Ciphers
Morse Code                              ; ;C\T\W  ;   ;X;                                                            ;Tools \ Misc \ Morse Code <br /> Codes \ Morse code         ;                                                            ;Codings \ Morse code                    ;;9) Codings
N-Gram Analysis                         ;X;       ;   ;X;Analysis \ Tools for Analysis \ N-Gram…                     ;                                                            ;                                                            ;Cryptanalysis \ N-Gram Analysis         ;;6) Classic Cryptanalysis
