ADFGVX Analyzer;C/T;
;[C];Cryptanalysis\ Specific\ ADFGVX Analyzer
;[T];Cryptanalysis\ Classical\ ADFGVX heuristic analysis

Alphabet Permutator;C/T;
;[C];Tools\ Data flow\ Alphabet Permutator
;[T];Cryptography\ Classical\ Substitution Cipher using a password

Camellia;C/T;
;[C];Modern Ciphers\ Symmetric\ Camellia
;[T];Cryptography\ Modern\ Symmetric\ Camellia Cipher

Clipboard Input;C;
;[C];Tools\ Data input/output\ Clipboard Input

Clipboard Output;C;
;[C];Tools\ Data input/output\ Clipboard Output

Concatenate;C/T;
;[C];Tools\ Data flow\ Concatenate
;[T];Hash Functions\ MD5 Salted Hash Comparison
;[T];Hash Functions\ MD5 Collision Finder
;[T];Hash Functions\ HMAC
;[T];Hash Functions\ CRC Null problems

Contains;C/T;
;[C];Cryptanalysis\ Generic\ Contains
;[T];Cryptanalysis\ Classical\ Scytale Brute-force Analysis
;[T];Cryptanalysis\ Classical\ Caesar Brute-force Analysis

Achterbahn;C/T;
;[C];Modern Ciphers\ Symmetric\ Achterbahn
;[T];Cryptography\ Modern\ Symmetric\ Achterbahn Cipher

ADFGVX;C/T/W;
;[C];Classic Ciphers\ ADFGVX
;[T];Cryptography\ Classical\ ADFGVX Cipher
;[T];Cryptanalysis\ Classical\ ADFGVX dictionary attack
;[W];Encryption/Decryption\ Classic Encryption/Decryption\ ADFGVX

Alphabets;C;
;[C];Tools\ Data input/output\ Alphabets

Monoalphabetic Substitution Analyzer;C/T;
;[C];Cryptanalysis\ Specific\ Monoalphabetic Substitution Analyzer
;[T];Cryptanalysis\ Classical\ Monoalphabetic Substitution Analyzer with arbitrary Ciphertext Alphabet
;[T];Cryptanalysis\ Classical\ Monoalphabetic Substitution Analyzer
;[T];Cryptanalysis\ Classical\ ADFGVX heuristic analysis

Berlekamp-Massey Algorithm;C/T;
;[C];Cryptanalysis\ Generic\ Berlekamp-Massey Algorithm
;[T];Mathematics\ Berlekamp-Massey

Boolean Function Parser;C;
;[C];Tools\ Boolean\ Boolean Function Parser

Caesar;C/T/W;
;[C];Classic Ciphers\ Caesar
;[T];Cryptography\ Classical\ Caesar Cipher
;[T];Cryptanalysis\ Classical\ Caesar Analysis using character frequencies
;[T];Cryptanalysis\ Classical\ Caesar Brute-force Analysis
;[W];Encryption/Decryption\ Classic Encryption/Decryption\ Caesar
;[W];Cryptanalysis\ Classic Encryption\ Caesar

Caesar Analyzer;C/T;
;[C];Cryptanalysis\ Specific\ Caesar Analyzer
;[T];Cryptanalysis\ Classical\ Caesar Analysis using character frequencies

Clock;C;
;[C];Tools\ Data flow\ Clock

CRC;C/T;
;[C];Hash functions\ CRC
;[T];Hash Functions\ CRC Null problems
;[T];Hash Functions\ CRC

Cube Attack;C/T;
;[C];Cryptanalysis\ Specific\ Cube Attack
;[T];Cryptanalysis\ Modern\ Cube Attack on Trivium

DESVisualization;C/T;
;[C];Modern Ciphers\ Symmetric\ DESVisualization
;[T];Cryptography\ Modern\ Symmetric\ DES Visualization

Enigma;C/T/W;
;[C];Classic Ciphers\ Enigma
;[T];Cryptography\ Classical\ Enigma Cipher Machine
;[T];Cryptanalysis\ Classical\ Enigma Analyzer
;[W];Encryption/Decryption\ Classic Encryption/Decryption\ Enigma
;[W];Cryptanalysis\ Classic Encryption\ Enigma

Enigma Analyzer;C;
;[C];Cryptanalysis\ Specific\ Enigma Analyzer

Fialka;C/T;
;[C];Classic Ciphers\ Fialka
;[T];Cryptography\ Classical\ Fialka ED Check
;[T];Cryptography\ Classical\ Fialka M-125 PROTON I
;[T];Cryptography\ Classical\ Fialka ED NumLock10 Check
;[T];Cryptography\ Classical\ Fialka Key Output
;[T];Cryptography\ Classical\ Fialka M-125-3 PROTON II
;[T];Cryptography\ Classical\ Fialka ED Mixed Mode Check

Frequency Test;C/T;
;[C];Cryptanalysis\ Generic\ Frequency Test
;[T];Cryptanalysis\ Classical\ Statistic Tests for Classical Ciphers
;[T];Cryptanalysis\ Classical\ Frequency Analysis
;[T];Cryptanalysis\ Classical\ Caesar Analysis using character frequencies
;[T];Cryptanalysis\ Classical\ Enigma Analyzer

HIGHT;C;
;[C];Modern Ciphers\ Symmetric\ HIGHT

HMAC;C/T;
;[C];Protocols\ HMAC
;[T];Hash Functions\ HMAC

IP Frame Generator;C/T;
;[C];Tools\ Data input/output\ IP Frame Generator
;[T];Protocols\ WEP Attack

Kasiski's Test;C;
;[C];Cryptanalysis\ Generic\ Kasiski's Test

LFSR;C/T;
;[C];Tools\ Random Number\ LFSR
;[T];Mathematics\ Linear Feedback Shift Register (LFSR)

M-138;C/T;
;[C];Classic Ciphers\ M-138
;[T];Cryptography\ Classical\ M-138

M-138 Analyzer;C/T;
;[C];Cryptanalysis\ Specific\ M-138 Analyzer
;[T];Cryptanalysis\ Classical\ M-138 Partially-Known Plaintext Attack
;[T];Cryptanalysis\ Classical\ M-138 Ciphertext only Attack
;[T];Cryptanalysis\ Classical\ M-138 Known-Plaintext Attack

MD5;C/T/W;
;[C];Hash functions\ MD5
;[T];Cryptography\ Modern\ Symmetric\ AES with PKCS#5
;[T];Codes\ RSA signed QR code
;[T];Hash Functions\ MD5 Salted Hash Comparison
;[T];Hash Functions\ MD5 Collision Finder
;[T];Hash Functions\ HMAC
;[T];Hash Functions\ MD5
;[W];Cryptanalysis\ Modern Encryption\ Hash Functions\ MD5

NLFSR;C/T;
;[C];Tools\ Random Number\ NLFSR
;[T];Mathematics\ Non-Linear Feedback Shift Register (NLFSR)

Playfair;C/T/W;
;[C];Classic Ciphers\ Playfair
;[T];Cryptography\ Classical\ Playfair Cipher
;[T];Cryptanalysis\ Classical\ Playfair Analysis
;[W];Encryption/Decryption\ Classic Encryption/Decryption\ Playfair

Playfair Analyzer;C/T;
;[C];Cryptanalysis\ Specific\ Playfair Analyzer
;[T];Cryptanalysis\ Classical\ Playfair Analysis

AES Visualization;C/T;
;[C];Modern Ciphers\ Symmetric\ AES Visualization
;[T];Cryptography\ Modern\ Symmetric\ AES Visualization

Array Indexer;C/T;
;[C];Tools\ Data flow\ Array Indexer
;[T];Hash Functions\ Dictionary Attack on a password hash value

Audio Input;C;
;[C];Tools\ Data input/output\ Audio Input

Audio Output;C;
;[C];Tools\ Data input/output\ Audio Output

Autocorrelation;C;
;[C];Cryptanalysis\ Generic\ Autocorrelation

Avalanche Visualization;C/T;
;[C];Tools\ Misc\ Avalanche Visualization
;[T];Cryptanalysis\ Modern\ Avalanche (compare classic ciphers)
;[T];Cryptanalysis\ Modern\ Avalanche (AES)
;[T];Cryptanalysis\ Modern\ Avalanche (DES)
;[T];Cryptanalysis\ Modern\ Avalanche (hash functions)
;[T];Cryptanalysis\ Modern\ Avalanche (modern ciphers)
;[T];Cryptanalysis\ Modern\ Avalanche (classic ciphers)

BB84 Error Detector;C/T;
;[C];Protocols\ BB84 Error Detector
;[T];Protocols\ BB84 Key Exchange with eavesdropping attack

BB84 Key Generator;C/T;
;[C];Protocols\ BB84 Key Generator
;[T];Protocols\ BB84 Key Exchange with eavesdropping attack
;[T];Protocols\ BB84 Key Exchange

BB84 Man in the Middle;C/T;
;[C];Protocols\ BB84 Man in the Middle
;[T];Protocols\ BB84 Key Exchange with eavesdropping attack

BB84 Photonbase Generator;C/T;
;[C];Protocols\ BB84 Photonbase Generator
;[T];Protocols\ BB84 Key Exchange with eavesdropping attack
;[T];Protocols\ BB84 Key Exchange

BB84 Photon Decoder;C/T;
;[C];Protocols\ BB84 Photon Decoder
;[T];Protocols\ BB84 Key Exchange with eavesdropping attack
;[T];Protocols\ BB84 Key Exchange

BB84 Photon Encoder;C/T;
;[C];Protocols\ BB84 Photon Encoder
;[T];Protocols\ BB84 Key Exchange with eavesdropping attack
;[T];Protocols\ BB84 Key Exchange

BLAKE;C/T;
;[C];Hash functions\ BLAKE
;[T];Hash Functions\ BLAKE
;[T];Hash Functions\ Password storage using salted BLAKE-256
;[T];Hash Functions\ Password verification using salted BLAKE-256

Blind Signature Generator;C/T;
;[C];Modern Ciphers\ Asymmetric\ Blind Signature Generator
;[T];Cryptography\ Modern\ Asymmetric\ Blind Signature Paillier
;[T];Cryptography\ Modern\ Asymmetric\ Blind Signature RSA

Blind Signature Verifier;C;
;[C];Modern Ciphers\ Asymmetric\ Blind Signature Verifier

Boolean Binary Operator;C/T;
;[C];Tools\ Boolean\ Boolean Binary Operator
;[T];Mathematics\ Booleans

Boolean If-Else Operator;C;
;[C];Tools\ Boolean\ Boolean If-Else Operator

Boolean Input;C/T;
;[C];Tools\ Boolean\ Boolean Input
;[T];Cryptography\ Modern\ Symmetric\ AES (CBC) with PKCS#5 and IV
;[T];Cryptography\ Modern\ Symmetric\ AES (ECB) with PKCS#5
;[T];Cryptography\ Modern\ Asymmetric\ Paillier Cipher (Voting)
;[T];Tools\ Take a Picture using the webcam
;[T];Codes\ AES (CBC) with PKCS#5 and IV, output as QR Code
;[T];Protocols\ WEP Attack
;[T];Mathematics\ Booleans
;[T];Mathematics\ ISAP Bit Commitment Scheme

Boolean Not Operator;C;
;[C];Tools\ Boolean\ Boolean Not Operator

Boolean Output;C/T;
;[C];Tools\ Boolean\ Boolean Output
;[T];Cryptography\ Modern\ Symmetric\ DES Complementation Property
;[T];Cryptography\ Modern\ Symmetric\ AES with PKCS#5
;[T];Cryptography\ Modern\ Asymmetric\ Paillier Cipher with Addition
;[T];Cryptography\ Modern\ Asymmetric\ Paillier Cipher (Number Input)
;[T];Codes\ ISBN-10 Check
;[T];Codes\ RSA signed QR code
;[T];Codes\ ISBN-13 Check
;[T];Protocols\ Diffie-Hellman Key-Exchange
;[T];Protocols\ Coin Flipping Protocol
;[T];Protocols\ Zero Knowledge Protocol
;[T];Protocols\ Dining Cryptographers Protocol
;[T];Protocols\ Yao's Millionaire Problem Protocol
;[T];Hash Functions\ MD5 Salted Hash Comparison
;[T];Hash Functions\ MD5 Collision Finder
;[T];Mathematics\ Booleans
;[T];Mathematics\ Primes Test
;[T];Mathematics\ Next Smaller Prime Number

Coin Flipping;C/T;
;[C];Protocols\ Coin Flipping
;[T];Protocols\ Coin Flipping Protocol

Comparators;C/T;
;[C];Tools\ Misc\ Comparators
;[T];Cryptography\ Modern\ Symmetric\ AES Cipher with SHA hashes
;[T];Cryptography\ Modern\ Asymmetric\ Paillier Cipher with Addition
;[T];Cryptography\ Modern\ Asymmetric\ Paillier Cipher (Number Input)
;[T];Cryptanalysis\ Classical\ Scytale Brute-force Analysis
;[T];Cryptanalysis\ Classical\ Caesar Brute-force Analysis
