CT2:dynamic:6823a28a;ADFGX / ADFGVX;CT2:C \ Classic Ciphers \ ADFGVX
CT2:dynamic:b405cb53;Caesar;CT2:C \ Classic Ciphers \ Caesar
CT2:dynamic:b017cd08;ADFGX / ADFGVX;CT2:C \ Cryptanalysis \ Generic \ ADFGVX Analyzer
CT2:dynamic:dd1c1bf3;Berlekamp-Massey algorithm;CT2:C \ Cryptanalysis \ Generic \ Berlekamp-Massey Algorithm
CT2:dynamic:389d93d7;Caesar analysis;CT2:C \ Cryptanalysis \ Specific \ Caesar Analyzer
CT2:dynamic:4395a6d1;Substitution analysis;CT2:C \ Cryptanalysis \ Specific \ Monoalphabetic Substitution Analyzer
CT2:dynamic:b65cc114;Achterbahn;CT2:C \ Modern Ciphers \ Symmetric \ Achterbahn
CT2:dynamic:e0fd139a;Camellia;CT2:C \ Modern Ciphers \ Symmetric \ Camellia
CT2:dynamic:c242321a;Bitcoin;CT2:C \ Protocols \ Bitcoin Block Downloader
CT2:dynamic:108a860e;Bitcoin;CT2:C \ Protocols \ Bitcoin Block Viewer
CT2:dynamic:5ec46cbe;Bitcoin;CT2:C \ Protocols \ Bitcoin Transaction Downloader
CT2:dynamic:51a3e694;Bitcoin;CT2:C \ Protocols \ Bitcoin Transaction Viewer
CT2:dynamic:d4f93dec;Data flow;CT2:C \ Tools \ Boolean \ Boolean Binary Operator
CT2:dynamic:857d0a77;Data flow;CT2:C \ Tools \ Boolean \ Boolean Function Parser
CT2:dynamic:86043104;Data flow;CT2:C \ Tools \ Boolean \ Boolean If-Else Operator
CT2:dynamic:c3a3927d;Data input;CT2:C \ Tools \ Boolean \ Boolean Input
CT2:dynamic:8ce782f6;Data flow;CT2:C \ Tools \ Boolean \ Boolean Not Operator
CT2:dynamic:7c94ed2e;Data flow;CT2:C \ Tools \ Boolean \ Boolean Output
CT2:dynamic:88c11f4b;Alphabet;CT2:C \ Tools \ Data flow \ Alphabet Permutator
CT2:dynamic:36d50726;Data flow;CT2:C \ Tools \ Data flow \ Array Indexer
CT2:dynamic:2718902f;Data input;CT2:C \ Tools \ Data flow \ Clock
CT2:dynamic:3bd3df70;Data flow;CT2:C \ Tools \ Data flow \ Collector
CT2:dynamic:994cb391;Data input;CT2:C \ Tools \ Data flow \ CSVReader
CT2:dynamic:6cc1ca87;Data flow;CT2:C \ Tools \ Data flow \ Gate
CT2:dynamic:ce5f6b05;Data flow;CT2:C \ Tools \ Data flow \ Regular Expression Match
CT2:dynamic:ee9e01a8;Data flow;CT2:C \ Tools \ Data flow \ Regular Expression Replace
CT2:dynamic:d4de3d9e;Data flow;CT2:C \ Tools \ Data flow \ Serializer
CT2:dynamic:4abf7c39;Data flow;CT2:C \ Tools \ Data flow \ Splitter
CT2:dynamic:a5b8baa4;Data flow;CT2:C \ Tools \ Data flow \ UserCode
CT2:dynamic:d2013a78;Data flow;CT2:C \ Tools \ Data flow \ Variable Load
CT2:dynamic:de1f1a39;Data flow;CT2:C \ Tools \ Data flow \ Variable Store
CT2:dynamic:7c08b8e9;Data flow;CT2:C \ Tools \ Data input \ output \ Alphabets
CT2:dynamic:9231a949;Data input;CT2:C \ Tools \ Data input \ output \ Audio Input
CT2:dynamic:db2a666c;Data input;CT2:C \ Tools \ Data input \ output \ Audio Output
CT2:dynamic:9c08e5e5;Data flow;CT2:C \ Tools \ Data input \ output \ Clipboard Input
CT2:dynamic:ae26121d;Data flow;CT2:C \ Tools \ Data input \ output \ Clipboard Output
CT2:dynamic:f2c5622e;DECODE database;CT2:C \ Tools \ Data input \ output \ DECODE Viewer
CT2:dynamic:a8107e15;Data input;CT2:C \ Tools \ Data input \ output \ Dictionary
CT2:dynamic:7e89d6ac;Data input;CT2:C \ Tools \ Data input \ output \ File Input
CT2:dynamic:9535dab2;Data flow;CT2:C \ Tools \ Data input \ output \ File Output
CT2:dynamic:c143fa87;Data flow;CT2:C \ Tools \ Data input \ output \ IP Frame Generator
CT2:dynamic:64ff919b;Data input;CT2:C \ Tools \ Data input \ output \ Network Capture
CT2:dynamic:08dda90d;Data input;CT2:C \ Tools \ Data input \ output \ Network Receiver
CT2:dynamic:ea5aa0c3;Data flow;CT2:C \ Tools \ Data input \ output \ Network Sender
CT2:dynamic:834e9111;Data input;CT2:C \ Tools \ Data input \ output \ Number Input
CT2:dynamic:41e4a3f0;Data flow;CT2:C \ Tools \ Data input \ output \ Picture Output
CT2:dynamic:c695b3ae;Primes;CT2:C \ Tools \ Data input \ output \ Prime Generator
CT2:dynamic:d4be2e75;Data input;CT2:C \ Tools \ Data input \ output \ Text Input
CT2:dynamic:4eb53052;Data flow;CT2:C \ Tools \ Data input \ output \ Text Output
CT2:dynamic:8b704c3e;Data input;CT2:C \ Tools \ Misc \ Camera
CT2:dynamic:5e554a92;Misc;CT2:C \ Tools \ Misc \ Cloud Test Component
CT2:dynamic:1a288f89;Data flow;CT2:C \ Tools \ Misc \ Comparators
CT2:dynamic:cbefba06;Data flow;CT2:C \ Tools \ Misc \ Concatenate
CT2:dynamic:78a463e2;Data flow;CT2:C \ Tools \ Misc \ Converter
CT2:dynamic:f562e8d8;Misc;CT2:C \ Tools \ Misc \ Cryptanalytic Process Executor
CT2:dynamic:2c388873;CypherMatrix;CT2:C \ Tools \ Misc \ CypherMatrix
CT2:dynamic:4f7b3d78;CypherMatrix;CT2:C \ Tools \ Misc \ CypherMatrix Hash
CT2:dynamic:1ce5e61c;Data flow;CT2:C \ Tools \ Misc \ Decimalization
CT2:dynamic:9f6dc562;Misc;CT2:C \ Tools \ Misc \ Example Plugin
CT2:dynamic:caf073e1;Data flow;CT2:C \ Tools \ Misc \ HammingDistance
CT2:dynamic:0aa661c1;Huffman;CT2:C \ Tools \ Misc \ Huffman
CT2:dynamic:bff35049;Data input;CT2:C \ Tools \ Misc \ ImageProcessor
CT2:dynamic:e710814c;Data flow;CT2:C \ Tools \ Misc \ Inc Dec
CT2:dynamic:17e9466f;Data flow;CT2:C \ Tools \ Misc \ Length
CT2:dynamic:a4872407;LFSR;CT2:C \ Tools \ Misc \ LFSR
CT2:dynamic:660cd144;Morse code;CT2:C \ Tools \ Misc \ Morse Code
CT2:dynamic:1e47be58;Misc;CT2:C \ Tools \ Misc \ Number Operation
CT2:dynamic:ab8544b7;Padding oracle attack (POA);CT2:C \ Tools \ Misc \ Padding Oracle
CT2:dynamic:6e7a5d4c;Padding oracle attack (POA);CT2:C \ Tools \ Misc \ Padding Oracle Attack
CT2:dynamic:bdb5fbf5;Passwords;CT2:C \ Tools \ Misc \ PasswordStrength
CT2:dynamic:19209629;Misc;CT2:C \ Tools \ Misc \ Progress
CT2:dynamic:141c44b7;PRNG;CT2:C \ Tools \ Misc \ Random Number Generator
CT2:dynamic:7491f335;Misc;CT2:C \ Tools \ Misc \ SAT Solver
CT2:dynamic:e4eb8008;SIGABA;CT2:C \ Tools \ Misc \ Sigaba
CT2:dynamic:472c4a23;SIGABA;CT2:C \ Tools \ Misc \ SigabaBruteforce
CT2:dynamic:5ddec3ce;Data flow;CT2:C \ Tools \ Misc \ Stream Comparator
CT2:dynamic:cb5be9f5;Data flow;CT2:C \ Tools \ Misc \ StreamSplitter
CT2:dynamic:b80a4189;Data flow;CT2:C \ Tools \ Misc \ String Decoder
CT2:dynamic:c63e2bb2;Data flow;CT2:C \ Tools \ Misc \ String Encoder
CT2:dynamic:0988d39a;Data flow;CT2:C \ Tools \ Misc \ String Operations
CT2:dynamic:1a5f9d3d;Data flow;CT2:C \ Tools \ Misc \ Visual Decoder
CT2:dynamic:f7ab9d92;Data flow;CT2:C \ Tools \ Misc \ Visual Encoder
CT2:dynamic:b5e29ae5;Data input;CT2:C \ Tools \ Misc \ WebHits
CT2:dynamic:db755fbe;ADFGVX analysis;CT2:T \ Cryptanalysis \ Classical \ ADFGVX dictionary attack
CT2:dynamic:e888bdf8;ADFGX / ADFGVX;CT2:T \ Cryptanalysis \ Classical \ ADFGVX heuristic analysis
CT2:dynamic:2ed0e587;Caesar analysis;CT2:T \ Cryptanalysis \ Classical \ Caesar Analysis using character frequencies
CT2:dynamic:7277bffb;Substitution analysis;CT2:T \ Cryptanalysis \ Classical \ Monoalphabetic Substitution Analyzer
CT2:dynamic:2f3ee9c9;Substitution analysis;CT2:T \ Cryptanalysis \ Classical \ Monoalphabetic Substitution Analyzer with arbitrary Ciphertext Alphabet
CT2:dynamic:8f4f26c2;ADFGX / ADFGVX;CT2:T \ Cryptography \ Classical \ ADFGVX Cipher
CT2:dynamic:a86c5f7f;Caesar;CT2:T \ Cryptography \ Classical \ Caesar Cipher
CT2:dynamic:10b0af8e;Substitution;CT2:T \ Cryptography \ Classical \ Substitution Cipher using a password
CT2:dynamic:005f9b98;Achterbahn;CT2:T \ Cryptography \ Modern \ Symmetric \ Achterbahn Cipher
CT2:dynamic:da08242c;Camellia;CT2:T \ Cryptography \ Modern \ Symmetric \ Camellia Cipher
CT2:dynamic:d4ea7e1d;Bitcoin;CT2:T \ Experimental \ Bitcoin Blockchain Analysis
CT2:dynamic:75413309;Cyclic redundancy check (CRC);CT2:T \ Hash Functions \ CRC Null problems
CT2:dynamic:1ba2d2b7;HMAC;CT2:T \ Hash Functions \ HMAC
CT2:dynamic:e2cd4fb9;MD5;CT2:T \ Hash Functions \ MD5 Collision Finder
CT2:dynamic:23c8350f;MD5;CT2:T \ Hash Functions \ MD5 Salted Hash Comparison
CT2:dynamic:00f08d6d;Berlekamp-Massey algorithm;CT2:T \ Mathematics \ Berlekamp-Massey
CT2:dynamic:7b0f6a95;Passwords;CT2:T \ Tools \ Check Password Strength
CT2:dynamic:76ba1834;Application;CT2:T \ Tools \ Diffie-Hellman AES Video Audio Chat
CT2:dynamic:f56e061e;DECODE database;CT2:T \ Tools \ Download documents from the DECODE database
CT2:dynamic:6cbb659e;Huffman;CT2:T \ Tools \ Huffman's algorithm (ASCII)
CT2:dynamic:62c1f476;Huffman;CT2:T \ Tools \ Huffman's algorithm (BMG, JPG)
CT2:dynamic:e24a967f;Huffman;CT2:T \ Tools \ Huffman's algorithm (UTF-8)
CT2:dynamic:070870b6;Keccak;CT2:T \ Tools \ Keccak pseudorandom number generator (PRNG)
CT2:dynamic:a085109c;Data input;CT2:T \ Tools \ Random Decimal Number
CT2:dynamic:7b404ab3;PRNG;CT2:T \ Tools \ Random number generators
CT2:dynamic:16e78af0;Application;CT2:T \ Tools \ Simple AES Chat
CT2:dynamic:79850b59;Application;CT2:T \ Tools \ Simple Video and Audio Chat using AES encryption
CT2:dynamic:052ca244;Data flow;CT2:T \ Tools \ Split a text
CT2:dynamic:8b07fe29;Data input;CT2:T \ Tools \ Take a Picture using the webcam
CT2:dynamic:4b23729b;Caesar;CT2:W \ Cryptanalysis \ Classic Encryption \ Caesar
CT2:dynamic:3a0d02ad;ADFGX / ADFGVX;CT2:W \ Encryption \ Decryption \ Classic Encryption \ Decryption \ ADFGVX
CT2:dynamic:86adff31;Caesar;CT2:W \ Encryption \ Decryption \ Classic Encryption \ Decryption \ Caesar
CT2:dynamic:d51a8199;Encryption;CT2:W \ Tools \ Encrypt with password
CT2:dynamic:c827e60b;Heartbleed;CT2:W \ Tools \ Heartbleed analysis
CT2:dynamic:79ca2a79;Passwords;CT2:W \ Tools \ Password Strength
CT2:dynamic:56d09a3c;Data flow;CT2:W \ Tools \ Random numbers
CT2:dynamic:5eb1c3f8;Cylinder cipher;CT2:C \ Classic Ciphers \ Cylinder Cipher
CT2:dynamic:7676e9c5;Enigma;CT2:C \ Classic Ciphers \ Enigma
CT2:dynamic:2507ff9a;Fialka;CT2:C \ Classic Ciphers \ Fialka
CT2:dynamic:26258a0c;Hill cipher;CT2:C \ Classic Ciphers \ Hill Cipher
CT2:dynamic:292edb93;Lorenz SZ42;CT2:C \ Classic Ciphers \ Lorenz SZ42
CT2:dynamic:8aa73c34;M-138;CT2:C \ Classic Ciphers \ M-138
CT2:dynamic:17adb7d1;M209;CT2:C \ Classic Ciphers \ M209
CT2:dynamic:5cf8d2eb;Nihilist cipher;CT2:C \ Classic Ciphers \ Nihilist
CT2:dynamic:ca84a5a9;Playfair cipher;CT2:C \ Classic Ciphers \ Playfair
CT2:dynamic:da91683b;Purple;CT2:C \ Classic Ciphers \ Purple
CT2:dynamic:4277e266;Scytale;CT2:C \ Classic Ciphers \ Scytale
CT2:dynamic:b312e6fc;Solitaire;CT2:C \ Classic Ciphers \ Solitaire
CT2:dynamic:04dcec57;Spanish strip cipher;CT2:C \ Classic Ciphers \ Spanish Strip Cipher
CT2:dynamic:ee5d7603;Substitution;CT2:C \ Classic Ciphers \ Substitution
CT2:dynamic:5eb192a6;T-310;CT2:C \ Classic Ciphers \ T-310
CT2:dynamic:98353e86;T-316;CT2:C \ Classic Ciphers \ T-316
CT2:dynamic:124798f3;Transposition (single and double column);CT2:C \ Classic Ciphers \ Transposition
